order_id,order_date,product_category,product_name,quantity,unit_price,customer_id,city,country
1001,2024-01-05,Electronics,Wireless Mouse,2,15.99,C001,Warsaw,Poland
1002,2024-01-07,Home,Electric Kettle,1,24.50,C002,Krakow,Poland
1003,2024-02-10,Toys,Building Blocks,3,9.99,C003,Wroclaw,Poland
1004,2024-02-12,Beauty,Face Cream,1,19.90,C004,Warsaw,Poland
1005,2024-02-28,Electronics,USB-C Cable,5,7.50,C005,Gdansk,Poland
1006,2024-03-03,Home,Vacuum Cleaner,1,129.00,C001,Warsaw,Poland
1007,2024-03-15,Toys,RC Car,2,45.00,C006,Lodz,Poland
1008,2024-03-20,Beauty,Shampoo,4,6.99,C007,Warsaw,Poland
1009,2024-04-02,Electronics,Keyboard,1,39.99,C002,Krakow,Poland
1010,2024-04-25,Home,Coffee Maker,1,59.00,C003,Wroclaw,Poland
